"","year","rank","restaurant","location","country","lat","lng"
"184",2005,34,"WD~50","New York","United States",40.7127753,-74.0059728
"185",2005,35,"Le Quartier Français","Franschhoek","South Africa",-33.9127211,19.1212795
"186",2005,36,"Spice Market","New York","United States",40.7127753,-74.0059728
"187",2005,37,"L'Auberge de l'Ill","Illhaeusern","France",48.184834,7.43380399
"188",2005,38,"Manresa","Port Townsend","United States",48.1170386,-122.7604472
"189",2005,39,"Dieter Mueller","Gladbach","Germany",51.1941686,6.4315392
"190",2005,40,"Troisgros","Ouches","France",46.014944,3.986587
"191",2005,41,"The Wolseley","London","United Kingdom",51.5072178,-0.1275862
"192",2005,42,"Rockpool","Sydney","Australia",-33.8688197,151.2092955
"193",2005,43,"Yauatcha","London","United Kingdom",51.5072178,-0.1275862
"194",2005,44,"The Ivy","London","United Kingdom",51.5072178,-0.1275862
"195",2005,45,"Gambero Rosso","Vernazza","Italy",44.1353502,9.6827957
"196",2005,46,"The Cliff","Durants","Barbados",13.1580476,-59.6326696
"197",2005,47,"Le Gavroche","London","United Kingdom",51.5072178,-0.1275862
"198",2005,48,"Enoteca Pinchiorri","Florence","Italy",43.7699685,11.2576706
"199",2005,49,"Felix","Hong Kong","Hong Kong",22.3193039,114.1693611
"200",2005,50,"La Tupina","Bordeaux","France",44.8416106,-0.5810938
"201",2006,1,"El Bulli","Roses","Spain",42.2639489,3.1795528
"202",2006,2,"The Fat Duck","Maidenhead","United Kingdom",51.5225605,-0.7243082
"203",2006,3,"Pierre Gagnaire","Paris","France",48.8575475,2.3513765
"204",2006,4,"The French Laundry","Yountville","United States",38.401578,-122.3608105
"205",2006,5,"Tetsuya's","Sydney","Australia",-33.8688197,151.2092955
"206",2006,6,"Bras","Laguiole","France",44.683579,2.845605
"207",2006,7,"Le Louis XV","Monaco","Monaco",43.7384176,7.42461579
"208",2006,8,"Per Se","New York","United States",40.7127753,-74.0059728
"209",2006,9,"Arzak","San Sebastian","Spain",43.318237,-1.9817051
"210",2006,10,"Mugaritz","Gipuzkoa","Spain",43.0756299,-2.2236667
"211",2006,11,"Can Fabes","Barcelona","Spain",41.3873974,2.168568
"212",2006,12,"Nobu","London","United Kingdom",51.5072178,-0.1275862
"213",2006,13,"Gambero Rosso","Vernazza","Italy",44.1353502,9.6827957
"214",2006,14,"Restaurant Gordon Ramsay","London","United Kingdom",51.5072178,-0.1275862
"215",2006,15,"Alain Ducasse","Paris","France",48.8575475,2.3513765
"216",2006,16,"Jean Georges","New York","United States",40.7127753,-74.0059728
"217",2006,17,"Le Cinq","Paris","France",48.8575475,2.3513765
"218",2006,18,"Daniel","New York","United States",40.7127753,-74.0059728
"219",2006,19,"Oud Sluis","Sluis","Netherlands",51.3086558,3.3879195
"220",2006,20,"Chez Panisse","Berkeley","United States",37.8715226,-122.273042
"221",2006,21,"El Celler de Can Roca","Girona","Spain",41.9794005,2.8214264
"222",2006,22,"L'Astrance","Paris","France",48.8575475,2.3513765
"223",2006,23,"Hof van Cleve","Kruisem","Belgium",50.9045204,3.5281422
"224",2006,24,"Troisgros","Ouches","France",46.014944,3.986587
"225",2006,25,"L'Atelier Saint Germain De Joël Robuchon","Paris","France",48.8575475,2.3513765
"226",2006,26,"Charlie Trotter's","Chicago","United States",41.8781136,-87.6297982
"227",2006,27,"Le Gavroche","London","United Kingdom",51.5072178,-0.1275862
"228",2006,28,"La Colombe","Cape Town","South Africa",-33.922087,18.4231418
"229",2006,29,"Enoteca Pinchiorri","Florence","Italy",43.7699685,11.2576706
"230",2006,30,"Rockpool","Sydney","Australia",-33.8688197,151.2092955
"231",2006,31,"Le Calandre","Padua","Italy",45.4105029,11.8782071
"232",2006,32,"Le Bernardin","New York","United States",40.7127753,-74.0059728
"233",2006,33,"Noma","Copenhagen","Denmark",55.6760968,12.5683371
"234",2006,34,"Dieter Mueller","Gladbach","Germany",51.1941686,6.4315392
"235",2006,35,"St John","London","United Kingdom",51.5072178,-0.1275862
"236",2006,36,"Hakkasan","London","United Kingdom",51.5072178,-0.1275862
"237",2006,37,"Martin Berasategui","Lasarte-Oria","Spain",43.2684377,-2.0178149
"238",2006,38,"Le Quartier Français","Franschhoek","South Africa",-33.9127211,19.1212795
"239",2006,39,"Chez Dominique","Helsinki","Finland",60.1698556,24.938379
"240",2006,40,"L'Ambroisie","Paris","France",48.8575475,2.3513765
"241",2006,41,"Die Schwarzaldstube","Baiersbronn","Germany",48.5089458,8.3706727
"242",2006,42,"Dal Pescatore","Canneto sull'Oglio","Italy",45.1515537,10.3828899
"243",2006,43,"Bocuse","Lyon","France",45.764043,4.835659
"244",2006,44,"Arpège","Paris","France",48.8575475,2.3513765
"245",2006,45,"Gramercy Tavern","New York","United States",40.7127753,-74.0059728
"246",2006,46,"Bukhara","New Delhi","India",28.6139298,77.2088282
"247",2006,47,"De Karmeliet","Bruges","Belgium",51.2093707,3.2247548
"248",2006,48,"Oaxen Krog","Stockholm","Sweden",59.3293234,18.0685808
"249",2006,49,"Comme Chez Soi","Brussels","Belgium",50.8476424,4.3571696
"250",2006,50,"D.O.M.","São Paulo","Brazil",-23.5557714,-46.6395571
"251",2007,1,"El Bulli","Roses","Spain",42.2639489,3.1795528
"252",2007,2,"The Fat Duck","Maidenhead","United Kingdom",51.5225605,-0.7243082
"253",2007,3,"Pierre Gagnaire","Paris","France",48.8575475,2.3513765
"254",2007,4,"The French Laundry","Yountville","United States",38.401578,-122.3608105
"255",2007,5,"Tetsuya's","Sydney","Australia",-33.8688197,151.2092955
"256",2007,6,"Bras","Laguiole","France",44.683579,2.845605
"257",2007,7,"Mugaritz","San Sebastian","Spain",43.318237,-1.9817051
"258",2007,8,"Le Louis XV","Monaco","Monaco",43.7384176,7.42461579
"259",2007,9,"Per Se","New York","United States",40.7127753,-74.0059728
"260",2007,10,"Arzak","San Sebastian","Spain",43.318237,-1.9817051
"261",2007,11,"El Celler de Can Roca","Girona","Spain",41.9794005,2.8214264
"262",2007,12,"Gambero Rosso","Vernazza","Italy",44.1353502,9.6827957
"263",2007,13,"L'Atelier Saint Germain De Joël Robuchon","Paris","France",48.8575475,2.3513765
"264",2007,14,"Hof van Cleve","Kruishoutem","Belgium",50.9044989,3.5281414
"265",2007,15,"Noma","Copenhagen","Denmark",55.6760968,12.5683371
"266",2007,16,"Le Calandre","Rubano","Italy",45.4262382,11.7937858
"267",2007,17,"Nobu","London","United Kingdom",51.5072178,-0.1275862
"268",2007,18,"Jean Georges","New York","United States",40.7127753,-74.0059728
"269",2007,19,"Hakkasan","London","United Kingdom",51.5072178,-0.1275862
"270",2007,20,"Alain Ducasse au Plaza Athénée","Paris","France",48.8575475,2.3513765
"271",2007,21,"L'Astrance","Paris","France",48.8575475,2.3513765
"272",2007,22,"Can Fabes","Barcelona","Spain",41.3873974,2.168568
"273",2007,23,"L'Ambroisie","Paris","France",48.8575475,2.3513765
"274",2007,24,"Restaurant Gordon Ramsay","London","United Kingdom",51.5072178,-0.1275862
"275",2007,25,"Troisgros","Paris","France",48.8575475,2.3513765
"276",2007,26,"Le Bernardin","New York","United States",40.7127753,-74.0059728
"277",2007,27,"Martin Berasategui","Lasarte-Oria","Spain",43.2684377,-2.0178149
